Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:58:42
Width: 1920
Height: 1080
Depth: 32
Rate: 60
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 100

Trial,Time,SensorBrightness
2,1635428,15
2,1635700,16
2,1635972,14
2,1636244,13
2,1636516,13
2,1636788,15
2,1637060,15
2,1637332,15
2,1637628,15
2,1637900,15
2,1638172,14
2,1638444,15
2,1638716,14
2,1638988,16
2,1639260,15
2,1639532,16
2,1639804,14
2,1640076,15
2,1640348,15
2,1640620,15
2,1640892,15
2,1641164,16
2,1641436,15
2,1641732,15
2,1642004,15
2,1642276,15
2,1642548,15
2,1642820,14
2,1643092,14
2,1643364,15
2,1643644,14
2,1643916,15
2,1644188,15
2,1644460,13
2,1644732,15
2,1645004,15
2,1645276,15
2,1645548,15
2,1645844,15
2,1646116,15
2,1646388,15
2,1646660,14
2,1646932,14
2,1647204,15
2,1647476,15
2,1647748,14
2,1648020,16
2,1648292,15
2,1648564,16
2,1648836,15
2,1649108,15
2,1649380,15
2,1649652,15
2,1649948,15
2,1650220,15
2,1650492,15
2,1650764,15
2,1651036,16
2,1651308,14
2,1651580,15
2,1651852,15
2,1652124,15
2,1652396,15
2,1652668,14
2,1652940,15
2,1653212,13
2,1653484,14
2,1653756,15
2,1654036,15
2,1654308,15
2,1654580,15
2,1654852,15
2,1655124,14
2,1655396,15
2,1655668,15
2,1655940,14
2,1656212,14
2,1656484,15
2,1656756,15
2,1657028,14
2,1657300,15
2,1657572,13
2,1657844,15
2,1658140,15
2,1658412,15
2,1658684,15
2,1658956,14
2,1659228,15
2,1659500,14
2,1659772,15
2,1660044,14
2,1660316,15
2,1660588,15
2,1660860,16
2,1661132,14
2,1661404,14
2,1661676,15
2,1661948,15
2,1662228,15
2,1662500,15
2,1662772,14
2,1663044,15
2,1663316,15
2,1663588,19
2,1663860,25
2,1664132,27
2,1664404,28
2,1664676,35
2,1664948,50
2,1665220,75
2,1665492,105
2,1665764,133
2,1666036,160
2,1666332,194
2,1666604,231
2,1666876,272
2,1667148,313
2,1667420,352
2,1667692,388
2,1667964,423
2,1668236,449
2,1668508,474
2,1668780,497
2,1669052,516
2,1669324,530
2,1669596,544
2,1669868,558
2,1670140,566
2,1670420,572
2,1670692,577
2,1670964,584
2,1671236,591
2,1671508,594
2,1671780,598
2,1672052,604
2,1672324,606
2,1672596,608
2,1672868,613
2,1673140,616
2,1673412,615
2,1673684,615
2,1673956,619
2,1674228,618
2,1674524,622
2,1674796,623
2,1675068,622
2,1675340,623
2,1675612,626
2,1675884,624
2,1676156,623
2,1676428,623
2,1676700,626
2,1676972,624
2,1677244,625
2,1677516,628
2,1677788,628
2,1678060,627
2,1678332,629
2,1678612,629
2,1678884,629
2,1679156,626
2,1679428,625
2,1679700,627
2,1679972,627
2,1680244,626
2,1680516,628
2,1680788,629
2,1681060,628
2,1681332,628
2,1681604,630
2,1681876,628
2,1682148,627
2,1682420,627
2,1682716,623
2,1682988,625
2,1683260,627
2,1683532,625
2,1683804,622
2,1684076,625
2,1684348,625
2,1684620,622
2,1684892,621
2,1685164,621
2,1685436,620
