Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:36:51
Width: 1024
Height: 768
Depth: 16
Rate: 120
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 100

Trial,Time,SensorBrightness
2,1634412,29
2,1634684,31
2,1634956,30
2,1635228,30
2,1635500,30
2,1635772,16
2,1636044,2
2,1636316,2
2,1636612,2
2,1636884,2
2,1637156,2
2,1637428,2
2,1637700,2
2,1637972,2
2,1638244,1
2,1638524,2
2,1638796,2
2,1639068,2
2,1639340,2
2,1639612,3
2,1639884,2
2,1640156,2
2,1640428,2
2,1640724,2
2,1640996,1
2,1641268,2
2,1641540,2
2,1641812,2
2,1642084,2
2,1642356,2
2,1642628,29
2,1642900,30
2,1643172,30
2,1643444,31
2,1643716,28
2,1643988,30
2,1644260,2
2,1644532,2
2,1644828,2
2,1645100,2
2,1645372,1
2,1645644,3
2,1645916,2
2,1646188,2
2,1646460,2
2,1646732,2
2,1647004,2
2,1647276,2
2,1647548,2
2,1647820,3
2,1648092,2
2,1648364,2
2,1648636,2
2,1648916,2
2,1649188,2
2,1649460,1
2,1649732,2
2,1650004,2
2,1650276,1
2,1650548,2
2,1650820,671
2,1651092,752
2,1651364,793
2,1651636,818
2,1651908,841
2,1652180,858
2,1652452,448
2,1652724,8
2,1653020,4
2,1653292,2
2,1653564,2
2,1653836,2
2,1654108,2
2,1654380,3
2,1654652,2
2,1654924,3
2,1655196,1
2,1655468,2
2,1655740,1
2,1656012,1
2,1656284,2
2,1656556,2
2,1656828,2
2,1657108,2
2,1657380,2
2,1657652,1
2,1657924,3
2,1658196,2
2,1658468,2
2,1658740,1
2,1659012,212
2,1659284,860
2,1659556,860
2,1659828,860
2,1660100,861
2,1660372,859
2,1660644,860
2,1660916,46
2,1661212,13
2,1661484,6
2,1661756,4
2,1662028,3
2,1662300,3
2,1662572,2
2,1662844,2
2,1663116,2
2,1663388,2
2,1663660,2
2,1663932,2
2,1664204,2
2,1664476,2
2,1664748,2
2,1665020,2
2,1665300,2
2,1665572,2
2,1665844,2
2,1666116,2
2,1666388,2
2,1666660,2
2,1666932,2
2,1667204,1
2,1667476,860
2,1667748,860
2,1668020,860
2,1668292,861
2,1668564,860
2,1668836,860
2,1669108,548
2,1669404,19
2,1669676,9
2,1669948,5
2,1670220,3
2,1670492,4
2,1670764,1
2,1671036,3
2,1671308,2
2,1671580,3
2,1671852,1
2,1672124,3
2,1672396,2
2,1672668,5
2,1672940,2
2,1673212,2
2,1673492,2
2,1673764,2
2,1674036,2
2,1674308,2
2,1674580,2
2,1674852,2
2,1675124,2
2,1675396,3
2,1675668,429
2,1675940,861
2,1676212,860
2,1676484,861
2,1676756,860
2,1677028,860
2,1677300,860
2,1677596,33
2,1677868,12
2,1678140,7
2,1678412,3
2,1678684,4
2,1678956,2
2,1679228,2
2,1679500,1
2,1679772,3
2,1680044,2
2,1680316,2
2,1680588,2
2,1680860,3
2,1681132,2
2,1681404,2
2,1681684,2
2,1681956,2
2,1682228,2
2,1682500,1
2,1682772,2
2,1683044,2
2,1683316,2
2,1683588,2
2,1683860,2
2,1684132,860
2,1684404,859
2,1684676,860
2,1684948,858
2,1685220,860
2,1685492,860
2,1685788,456
2,1686060,20
2,1686332,8
2,1686604,5
2,1686876,3
2,1687148,2
2,1687420,2
2,1687692,3
2,1687964,1
2,1688236,2
2,1688508,2
2,1688780,3
3,1767260,15
3,1767532,29
3,1767804,30
3,1768076,30
3,1768348,30
3,1768620,30
3,1768892,25
3,1769164,2
3,1769436,2
3,1769732,3
3,1770004,1
3,1770276,2
3,1770548,1
3,1770820,2
3,1771092,2
3,1771364,2
3,1771644,2
3,1771916,2
3,1772188,1
3,1772460,2
3,1772732,2
3,1773004,2
3,1773276,2
3,1773548,2
3,1773844,2
3,1774116,2
3,1774388,2
3,1774660,1
3,1774932,4
3,1775204,2
3,1775476,2
3,1775748,713
3,1776020,767
3,1776292,802
3,1776564,826
3,1776836,846
3,1777108,860
3,1777380,17
3,1777652,8
3,1777948,4
3,1778220,2
3,1778492,2
3,1778764,2
3,1779036,4
3,1779308,2
3,1779580,2
3,1779852,2
3,1780124,1
3,1780396,2
3,1780668,2
3,1780940,2
3,1781212,2
3,1781484,1
3,1781756,2
3,1782036,1
3,1782308,3
3,1782580,2
3,1782852,2
3,1783124,4
3,1783396,2
3,1783668,2
3,1783940,430
3,1784212,860
3,1784484,861
3,1784756,861
3,1785028,861
3,1785300,859
3,1785572,859
3,1785844,27
3,1786140,11
3,1786412,6
3,1786684,3
3,1786956,3
3,1787228,4
3,1787500,2
3,1787772,3
3,1788044,2
3,1788316,2
3,1788588,3
3,1788860,2
3,1789132,3
3,1789404,2
3,1789676,2
3,1789948,2
3,1790228,2
3,1790500,2
3,1790772,2
3,1791044,1
3,1791316,2
3,1791588,2
3,1791860,2
3,1792132,2
3,1792404,860
3,1792676,860
3,1792948,860
3,1793220,860
3,1793492,859
3,1793764,860
3,1794036,448
3,1794332,15
3,1794604,8
3,1794876,4
3,1795148,4
3,1795420,3
3,1795692,2
3,1795964,3
3,1796236,2
3,1796508,3
3,1796780,2
3,1797052,2
3,1797324,2
3,1797596,3
3,1797868,2
3,1798140,2
3,1798420,3
3,1798692,2
3,1798964,3
3,1799236,1
3,1799508,5
3,1799780,2
3,1800052,2
3,1800324,2
3,1800596,431
3,1800868,860
3,1801140,861
3,1801412,860
3,1801684,860
3,1801956,860
3,1802228,860
3,1802524,25
3,1802796,10
3,1803068,6
3,1803340,4
3,1803612,3
3,1803884,2
3,1804156,2
3,1804428,2
3,1804700,2
3,1804972,2
3,1805244,2
3,1805516,2
3,1805788,2
3,1806060,2
3,1806332,2
3,1806612,1
3,1806884,2
3,1807156,2
3,1807428,3
3,1807700,2
3,1807972,2
3,1808244,2
3,1808516,2
3,1808788,2
3,1809060,860
3,1809332,860
3,1809604,860
3,1809876,860
3,1810148,860
3,1810420,860
3,1810716,445
3,1810988,15
3,1811260,6
3,1811532,4
3,1811804,3
3,1812076,3
3,1812348,2
3,1812620,2
3,1812892,2
3,1813164,2
3,1813436,2
3,1813708,2
3,1813980,2
3,1814252,2
3,1814524,1
3,1814804,2
3,1815076,2
3,1815348,2
3,1815620,3
3,1815892,2
3,1816164,2
3,1816436,2
3,1816708,2
3,1816980,2
3,1817252,24
3,1817524,49
3,1817796,47
3,1818068,47
3,1818340,45
3,1818612,45
3,1818908,23
3,1819180,3
3,1819452,2
3,1819724,3
3,1819996,2
3,1820268,2
3,1820540,2
3,1820812,2
3,1821084,2
3,1821356,2
3,1821628,2
4,1899108,1
4,1899380,3
4,1899652,2
4,1899924,2
4,1900196,2
4,1900468,16
4,1900740,30
4,1901012,28
4,1901284,28
4,1901556,30
4,1901852,30
4,1902124,16
4,1902396,2
4,1902668,1
4,1902940,2
4,1903212,2
4,1903484,2
4,1903756,2
4,1904028,2
4,1904300,2
4,1904572,1
4,1904844,2
4,1905116,2
4,1905388,2
4,1905660,3
4,1905940,2
4,1906212,2
4,1906484,2
4,1906756,2
4,1907028,2
4,1907300,2
4,1907572,2
4,1907844,3
4,1908116,1
4,1908388,4
4,1908660,2
4,1908932,714
4,1909204,768
4,1909476,801
4,1909748,826
4,1910044,847
4,1910316,860
4,1910588,15
4,1910860,6
4,1911132,3
4,1911404,1
4,1911676,3
4,1911948,2
4,1912220,2
4,1912492,2
4,1912764,2
