Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:40:54
Width: 1024
Height: 768
Depth: 16
Rate: 120
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 100

Trial,Time,SensorBrightness
2,1427484,20
2,1427756,28
2,1428028,29
2,1428300,30
2,1428572,29
2,1428844,30
2,1429116,16
2,1429388,3
2,1429660,1
2,1429932,2
2,1430204,1
2,1430476,1
2,1430748,1
2,1431020,1
2,1431292,2
2,1431564,1
2,1431836,1
2,1432108,2
2,1432380,1
2,1432652,2
2,1432924,1
2,1433196,2
2,1433468,2
2,1433740,2
2,1434012,1
2,1434284,2
2,1434556,2
2,1434828,2
2,1435100,2
2,1435372,2
2,1435644,2
2,1435924,29
2,1436196,30
2,1436468,29
2,1436740,29
2,1437012,29
2,1437284,29
2,1437556,2
2,1437828,2
2,1438100,2
2,1438372,1
2,1438644,4
2,1438916,2
2,1439188,1
2,1439460,2
2,1439732,2
2,1440028,2
2,1440300,2
2,1440572,1
2,1440844,1
2,1441116,1
2,1441388,2
2,1441660,2
2,1441932,2
2,1442204,2
2,1442476,1
2,1442748,3
2,1443020,1
2,1443292,1
2,1443564,2
2,1443836,2
2,1444116,428
2,1444388,805
2,1444660,831
2,1444932,852
2,1445204,860
2,1445476,860
2,1445748,859
2,1446020,15
2,1446292,7
2,1446564,3
2,1446836,2
2,1447108,2
2,1447380,2
2,1447652,1
2,1447924,2
2,1448220,2
2,1448492,3
2,1448764,3
2,1449036,1
2,1449308,3
2,1449580,1
2,1449852,1
2,1450124,1
2,1450396,2
2,1450668,0
2,1450940,3
2,1451212,1
2,1451484,1
2,1451756,1
2,1452028,1
2,1452308,1
2,1452580,859
2,1452852,861
2,1453124,860
2,1453396,860
2,1453668,860
2,1453940,860
2,1454212,446
2,1454484,15
2,1454756,6
2,1455028,4
2,1455300,3
2,1455572,2
2,1455844,1
2,1456116,2
2,1456412,3
2,1456684,2
2,1456956,1
2,1457228,2
2,1457500,1
2,1457772,3
2,1458044,1
2,1458316,1
2,1458588,1
2,1458860,3
2,1459132,2
2,1459404,2
2,1459676,1
2,1459948,1
2,1460220,1
2,1460500,1
2,1460772,447
2,1461044,860
2,1461316,860
2,1461588,859
2,1461860,859
2,1462132,860
2,1462404,861
2,1462676,23
2,1462948,11
2,1463220,5
2,1463492,3
2,1463764,3
2,1464036,2
2,1464308,1
2,1464604,2
2,1464876,2
2,1465148,1
2,1465420,1
2,1465692,1
2,1465964,2
2,1466236,2
2,1466508,2
2,1466780,1
2,1467052,3
2,1467324,1
2,1467596,1
2,1467868,2
2,1468140,2
2,1468412,2
2,1468692,1
2,1468964,2
2,1469236,860
2,1469508,860
2,1469780,859
2,1470052,859
2,1470324,859
2,1470596,860
2,1470868,243
2,1471140,13
2,1471412,7
2,1471684,3
2,1471956,3
2,1472228,2
2,1472500,2
2,1472796,3
2,1473068,2
2,1473340,2
2,1473612,1
2,1473884,2
2,1474156,1
2,1474428,2
2,1474700,1
2,1474972,3
2,1475244,2
2,1475516,1
2,1475788,1
2,1476060,1
2,1476332,1
2,1476604,3
2,1476884,1
2,1477156,1
2,1477428,777
2,1477700,861
2,1477972,860
2,1478244,860
2,1478516,860
2,1478788,859
2,1479060,859
2,1479332,23
2,1479604,10
2,1479876,5
2,1480148,3
2,1480420,3
2,1480692,1
2,1480988,2
2,1481260,1
2,1481532,2
2,1481804,1
3,1565804,2
3,1566076,2
3,1566348,2
3,1566620,2
3,1566892,2
3,1567164,1
3,1567436,2
3,1567708,1
