Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:49:23
Width: 1024
Height: 768
Depth: 16
Rate: 120
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 100

Trial,Time,SensorBrightness
2,1441980,14
2,1442252,16
2,1442524,15
2,1442796,15
2,1443092,15
2,1443364,15
2,1443636,15
2,1443908,14
2,1444180,15
2,1444452,16
2,1444724,16
2,1444996,16
2,1445268,15
2,1445540,16
2,1445812,15
2,1446084,16
2,1446356,15
2,1446628,16
2,1446900,15
2,1447196,14
2,1447468,15
2,1447740,15
2,1448012,16
2,1448284,16
2,1448556,16
2,1448828,16
2,1449100,15
2,1449372,15
2,1449644,16
2,1449916,15
2,1450188,15
2,1450460,16
2,1450732,17
2,1451004,19
2,1451284,25
2,1451556,33
2,1451828,41
2,1452100,58
2,1452372,77
2,1452644,110
2,1452916,144
2,1453188,189
2,1453460,238
2,1453732,286
2,1454004,330
2,1454276,373
2,1454548,411
2,1454820,443
2,1455092,470
2,1455388,496
2,1455660,516
2,1455932,533
2,1456204,549
2,1456476,562
2,1456748,572
2,1457020,584
2,1457292,591
2,1457564,597
2,1457836,604
2,1458108,611
2,1458380,613
2,1458652,615
2,1458924,621
2,1459196,624
2,1459476,626
2,1459748,626
2,1460020,629
2,1460292,630
2,1460564,630
2,1460836,627
2,1461108,628
2,1461380,629
2,1461652,626
2,1461924,624
2,1462196,626
2,1462468,624
2,1462740,624
2,1463012,625
2,1463284,626
2,1463580,626
2,1463852,625
2,1464124,620
2,1464396,620
2,1464668,625
2,1464940,622
2,1465212,621
2,1465484,622
2,1465756,624
2,1466028,624
2,1466300,621
2,1466572,621
2,1466844,621
2,1467116,618
2,1467388,618
2,1467668,619
2,1467940,621
2,1468212,620
2,1468484,619
2,1468756,624
2,1469028,625
2,1469300,621
2,1469572,620
2,1469844,622
2,1470116,620
2,1470388,617
2,1470660,619
2,1470932,620
2,1471204,618
2,1471476,619
2,1471772,620
2,1472044,617
2,1472316,620
2,1472588,619
2,1472860,616
2,1473132,617
2,1473404,619
2,1473676,618
2,1473948,616
2,1474220,619
2,1474492,620
2,1474764,618
2,1475036,618
2,1475308,618
2,1475580,616
2,1475860,614
2,1476132,613
2,1476404,618
2,1476676,618
2,1476948,618
2,1477220,618
2,1477492,620
2,1477764,619
2,1478036,616
2,1478308,619
2,1478580,620
2,1478852,616
2,1479124,615
2,1479396,618
2,1479668,617
2,1479964,620
2,1480236,619
2,1480508,617
2,1480780,615
2,1481052,619
2,1481324,615
2,1481596,613
2,1481868,616
2,1482140,617
2,1482412,615
2,1482684,616
2,1482956,618
2,1483228,618
2,1483500,615
2,1483772,615
2,1484052,616
2,1484324,615
2,1484596,614
2,1484868,614
2,1485140,618
2,1485412,617
2,1485684,616
2,1485956,618
2,1486228,618
2,1486500,616
2,1486772,616
2,1487044,618
2,1487316,616
2,1487588,615
2,1487860,616
2,1488156,615
2,1488428,618
2,1488700,619
2,1488972,617
2,1489244,615
2,1489516,616
2,1489788,616
2,1490060,614
2,1490332,615
2,1490604,616
2,1490876,616
2,1491148,616
2,1491420,618
2,1491692,618
2,1491964,615
2,1492244,613
2,1492516,613
2,1492788,615
2,1493060,614
2,1493332,615
2,1493604,616
2,1493876,618
2,1494148,616
2,1494420,617
2,1494692,617
2,1494964,618
2,1495236,616
2,1495508,617
2,1495780,617
2,1496052,615
2,1496348,620
3,1570324,15
3,1570596,16
3,1570868,15
3,1571140,15
3,1571412,15
3,1571684,16
3,1571964,15
3,1572236,15
3,1572508,17
3,1572780,15
3,1573052,14
3,1573324,15
3,1573596,16
3,1573868,15
3,1574164,17
3,1574436,16
3,1574708,15
3,1574980,15
3,1575252,17
3,1575524,16
3,1575796,17
3,1576068,24
3,1576340,30
3,1576612,37
3,1576884,52
3,1577156,71
3,1577428,97
3,1577700,132
3,1577972,177
3,1578268,228
3,1578540,278
3,1578812,324
3,1579084,366
3,1579356,403
3,1579628,437
3,1579900,465
3,1580172,489
3,1580444,513
3,1580716,530
3,1580988,546
3,1581260,558
3,1581532,572
3,1581804,580
3,1582076,586
3,1582356,594
3,1582628,602
3,1582900,610
3,1583172,613
3,1583444,617
3,1583716,622
3,1583988,624
3,1584260,625
3,1584532,627
3,1584804,630
3,1585076,627
3,1585348,624
3,1585620,628
3,1585892,627
3,1586164,625
3,1586460,628
3,1586732,625
3,1587004,624
3,1587276,628
3,1587548,624
3,1587820,622
3,1588092,624
3,1588364,625
3,1588636,623
3,1588908,623
3,1589180,626
3,1589452,624
3,1589724,621
3,1589996,623
3,1590268,623
3,1590548,622
3,1590820,619
3,1591092,621
3,1591364,625
3,1591636,621
3,1591908,619
3,1592180,621
3,1592452,621
3,1592724,619
3,1592996,619
3,1593268,622
3,1593540,620
3,1593812,617
3,1594084,618
3,1594356,621
3,1594652,622
3,1594924,622
3,1595196,620
3,1595468,618
3,1595740,620
3,1596012,620
3,1596284,618
3,1596556,618
3,1596828,621
3,1597100,619
3,1597372,618
3,1597644,621
3,1597916,622
3,1598188,619
3,1598460,618
3,1598740,616
3,1599012,617
3,1599284,617
3,1599556,616
3,1599828,617
3,1600100,618
3,1600372,616
3,1600644,616
3,1600916,619
3,1601188,617
3,1601460,616
3,1601732,617
3,1602004,618
3,1602276,616
3,1602548,615
3,1602844,617
3,1603116,618
3,1603388,619
3,1603660,619
3,1603932,616
3,1604204,615
3,1604476,618
3,1604748,617
3,1605020,615
3,1605292,617
3,1605564,619
3,1605836,616
3,1606108,617
3,1606380,619
3,1606652,619
3,1606932,616
3,1607204,615
3,1607476,617
3,1607748,618
3,1608020,615
3,1608292,614
3,1608564,616
3,1608836,616
3,1609108,615
3,1609380,616
3,1609652,618
3,1609924,617
3,1610196,614
3,1610468,616
3,1610740,617
3,1611036,620
3,1611308,619
3,1611580,616
3,1611852,619
3,1612124,618
3,1612396,617
3,1612668,614
3,1612940,616
3,1613212,618
3,1613484,617
3,1613756,615
3,1614028,618
3,1614300,619
3,1614572,617
3,1614844,617
3,1615124,616
3,1615396,617
3,1615668,614
3,1615940,616
3,1616212,617
3,1616484,615
3,1616756,613
3,1617028,614
3,1617300,617
3,1617572,618
3,1617844,616
3,1618116,616
3,1618388,617
3,1618660,615
3,1618932,614
3,1619228,615
3,1619500,617
3,1619772,619
3,1620044,619
3,1620316,616
3,1620588,617
3,1620860,617
3,1621132,614
3,1621404,613
3,1621676,617
3,1621948,617
3,1622220,615
3,1622492,615
3,1622764,618
3,1623036,617
3,1623316,615
3,1623588,614
3,1623860,616
3,1624132,616
3,1624404,613
3,1624676,614
4,1708124,15
4,1708396,15
4,1708668,16
4,1708940,15
4,1709212,15
4,1709484,15
4,1709756,17
4,1710028,15
4,1710300,16
4,1710572,15
4,1710844,15
4,1711116,16
4,1711388,14
4,1711660,16
4,1711932,15
4,1712204,16
4,1712476,15
4,1712748,16
4,1713020,15
4,1713292,16
4,1713564,15
4,1713836,15
4,1714108,14
4,1714380,16
4,1714652,16
4,1714924,15
4,1715196,15
4,1715476,16
4,1715748,15
4,1716020,15
4,1716292,15
4,1716564,15
4,1716836,15
4,1717108,18
4,1717380,19
4,1717652,27
4,1717924,31
4,1718196,43
4,1718468,56
4,1718740,78
4,1719012,106
4,1719284,144
4,1719580,191
4,1719852,240
4,1720124,289
4,1720396,334
4,1720668,375
4,1720940,412
4,1721212,447
4,1721484,473
4,1721756,496
4,1722028,517
4,1722300,536
4,1722572,549
4,1722844,560
4,1723116,574
4,1723388,582
4,1723668,589
4,1723940,596
4,1724212,605
4,1724484,611
4,1724756,613
4,1725028,617
4,1725300,623
4,1725572,625
4,1725844,625
4,1726116,627
4,1726388,632
4,1726660,627
4,1726932,624
4,1727204,627
4,1727476,627
4,1727772,629
4,1728044,627
4,1728316,624
4,1728588,624
4,1728860,625
4,1729132,625
4,1729404,622
4,1729676,625
4,1729948,625
4,1730220,624
4,1730492,624
4,1730764,629
4,1731036,624
4,1731308,621
4,1731580,621
4,1731860,620
4,1732132,622
4,1732404,619
4,1732676,620
4,1732948,622
4,1733220,621
4,1733492,620
4,1733764,621
4,1734036,622
4,1734308,620
4,1734580,619
4,1734852,620
4,1735124,621
4,1735396,619
4,1735668,618
4,1735964,618
4,1736236,620
4,1736508,622
4,1736780,620
4,1737052,617
4,1737324,619
4,1737596,621
4,1737868,618
4,1738140,619
4,1738412,620
4,1738684,622
4,1738956,619
4,1739228,619
4,1739500,620
4,1739772,619
4,1740052,615
4,1740324,616
4,1740596,618
4,1740868,618
4,1741140,615
4,1741412,616
4,1741684,619
4,1741956,618
4,1742228,617
4,1742500,618
4,1742772,619
4,1743044,616
4,1743316,615
4,1743588,617
4,1743860,616
4,1744156,620
4,1744428,619
4,1744700,616
4,1744972,619
4,1745244,618
4,1745516,617
4,1745788,615
4,1746060,619
4,1746332,618
4,1746604,617
4,1746876,617
4,1747148,622
4,1747420,619
4,1747692,617
4,1747964,619
4,1748244,617
4,1748516,617
4,1748788,614
4,1749060,615
4,1749332,617
4,1749604,615
4,1749876,614
4,1750148,617
4,1750420,618
4,1750692,616
4,1750964,616
4,1751236,619
4,1751508,616
4,1751780,613
4,1752052,615
4,1752348,615
4,1752620,617
4,1752892,621
4,1753164,617
4,1753436,616
4,1753708,616
4,1753980,617
4,1754252,614
4,1754524,616
4,1754796,618
4,1755068,618
4,1755340,616
4,1755612,617
4,1755884,619
4,1756156,616
4,1756436,615
4,1756708,614
4,1756980,617
4,1757252,614
4,1757524,614
4,1757796,615
4,1758068,616
4,1758340,614
4,1758612,615
4,1758884,616
4,1759156,617
4,1759428,615
4,1759700,616
4,1759972,617
4,1760244,613
4,1760540,618
4,1760812,617
4,1761084,616
4,1761356,618
4,1761628,619
4,1761900,616
4,1762172,615
4,1762444,617
5,1838020,14
5,1838292,16
5,1838564,15
5,1838836,17
5,1839112,15
5,1839388,15
5,1839660,15
5,1839932,15
5,1840204,15
5,1840476,15
5,1840748,16
5,1841020,15
5,1841292,15
5,1841564,15
5,1841836,16
5,1842108,17
5,1842380,21
5,1842652,29
5,1842924,35
5,1843196,48
5,1843476,68
5,1843748,92
5,1844020,126
5,1844292,167
5,1844564,213
5,1844836,263
5,1845108,313
5,1845380,355
5,1845652,394
5,1845924,431
5,1846196,460
5,1846468,485
5,1846740,507
5,1847012,527
5,1847284,542
5,1847580,560
5,1847852,570
5,1848124,579
5,1848396,588
5,1848668,598
5,1848940,603
5,1849212,609
5,1849484,612
5,1849756,617
5,1850028,616
5,1850300,620
5,1850572,625
5,1850844,626
5,1851116,628
5,1851388,629
5,1851668,630
5,1851940,631
5,1852212,627
5,1852484,626
5,1852756,627
5,1853028,626
5,1853300,624
5,1853572,627
5,1853844,627
5,1854116,624
5,1854388,624
5,1854660,626
5,1854932,625
5,1855204,623
5,1855476,624
5,1855772,620
5,1856044,622
5,1856316,624
5,1856588,623
5,1856860,621
5,1857132,623
5,1857404,625
5,1857676,620
5,1857948,618
5,1858220,620
5,1858492,618
5,1858764,617
5,1859036,620
5,1859308,621
5,1859580,619
5,1859860,620
5,1860132,621
5,1860404,622
5,1860676,622
5,1860948,619
5,1861220,619
5,1861492,621
5,1861764,618
5,1862036,618
5,1862308,622
5,1862580,620
5,1862852,618
5,1863124,621
5,1863396,622
5,1863668,620
5,1863964,619
5,1864236,618
5,1864508,618
5,1864780,619
5,1865052,620
5,1865324,618
5,1865596,620
5,1865868,620
5,1866140,618
5,1866412,615
5,1866684,615
5,1866956,616
5,1867228,614
5,1867500,614
5,1867772,618
5,1868052,619
5,1868324,619
5,1868596,617
5,1868868,620
5,1869140,620
5,1869412,618
5,1869684,616
5,1869956,618
5,1870228,617
5,1870500,615
5,1870772,617
5,1871044,620
