Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:30:03
Width: 1024
Height: 768
Depth: 16
Rate: 120
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 1000

Trial,Time,SensorBrightness
2,1448300,3
2,1448572,16
2,1448844,30
2,1449116,31
2,1449388,29
2,1449660,32
2,1449932,29
2,1450204,17
2,1450476,3
2,1450748,3
2,1451020,3
2,1451292,4
2,1451564,2
2,1451836,3
2,1452108,2
2,1452380,1
2,1452652,2
2,1452924,3
2,1453196,2
2,1453468,2
2,1453740,3
2,1454012,3
2,1454284,2
2,1454556,2
2,1454828,4
2,1455100,3
2,1455380,3
2,1455652,3
2,1455924,1
2,1456196,2
2,1456468,3
2,1456740,2
2,1457012,657
2,1457284,714
2,1457556,766
2,1457828,800
2,1458100,824
2,1458372,844
2,1458644,22
2,1458916,6
2,1459188,4
2,1459484,3
2,1459756,3
2,1460028,2
2,1460300,2
2,1460572,1
2,1460844,2
2,1461116,3
2,1461388,3
2,1461660,3
2,1461932,3
2,1462204,3
2,1462476,3
2,1462748,2
2,1463020,4
2,1463292,2
2,1463572,3
2,1463844,4
2,1464116,3
2,1464388,2
2,1464660,3
2,1464932,2
2,1465204,431
2,1465476,860
2,1465748,860
2,1466020,861
2,1466292,858
2,1466564,861
2,1466836,860
2,1467108,29
2,1467380,14
2,1467676,7
2,1467948,4
2,1468220,3
2,1468492,3
2,1468764,1
2,1469036,4
2,1469308,3
2,1469580,3
2,1469852,3
2,1470124,2
2,1470396,3
2,1470668,3
2,1470940,3
2,1471212,3
2,1471484,4
2,1471764,3
2,1472036,3
2,1472308,4
2,1472580,2
2,1472852,1
2,1473124,5
2,1473396,3
2,1473668,860
2,1473940,860
2,1474212,861
2,1474484,861
2,1474756,860
2,1475028,860
2,1475300,452
2,1475572,19
2,1475868,8
2,1476140,6
2,1476412,5
2,1476684,3
2,1476956,3
2,1477228,3
2,1477500,3
2,1477772,3
2,1478044,2
2,1478316,3
2,1478588,3
2,1478860,3
2,1479132,4
2,1479404,2
2,1479676,3
2,1479956,3
2,1480228,2
2,1480500,3
2,1480772,2
2,1481044,1
2,1481316,3
2,1481588,3
2,1481860,430
2,1482132,861
2,1482404,860
2,1482676,861
2,1482948,861
2,1483220,861
2,1483492,860
2,1483764,28
2,1484060,13
2,1484332,6
2,1484604,5
2,1484876,3
2,1485148,2
2,1485420,3
2,1485692,3
2,1485964,3
2,1486236,3
2,1486508,3
2,1486780,2
2,1487052,3
2,1487324,3
2,1487596,2
2,1487868,2
2,1488148,3
2,1488420,3
2,1488692,3
2,1488964,3
2,1489236,1
2,1489508,2
2,1489780,3
2,1490052,3
2,1490324,860
2,1490596,860
2,1490868,860
2,1491140,861
2,1491412,861
2,1491684,860
2,1491956,451
2,1492252,18
2,1492524,9
2,1492796,5
2,1493068,3
2,1493340,2
2,1493612,4
2,1493884,3
2,1494156,2
2,1494428,3
2,1494700,2
2,1494972,3
2,1495244,3
2,1495516,3
2,1495788,3
2,1496060,3
2,1496340,3
2,1496612,2
2,1496884,2
2,1497156,3
2,1497428,4
2,1497700,3
2,1497972,3
2,1498244,3
2,1498516,430
2,1498788,860
2,1499060,860
2,1499332,861
2,1499604,858
2,1499876,860
2,1500148,860
2,1500444,25
2,1500716,12
2,1500988,6
2,1501260,4
2,1501532,4
2,1501804,2
2,1502076,4
2,1502348,3
2,1502620,3
3,1610116,2
3,1610388,3
3,1610660,3
3,1610932,3
3,1611204,2
3,1611476,4
3,1611748,2
3,1612044,2
3,1612316,3
3,1612588,3
3,1612860,3
3,1613132,2
3,1613404,3
3,1613676,2
3,1613948,2
3,1614220,2
3,1614492,3
3,1614764,2
3,1615036,16
3,1615308,30
3,1615580,30
3,1615852,30
3,1616148,29
3,1616420,30
3,1616692,17
3,1616964,3
3,1617236,3
3,1617508,4
3,1617780,3
3,1618052,4
3,1618324,2
3,1618596,3
3,1618868,2
3,1619140,3
3,1619412,2
3,1619684,3
3,1619956,2
3,1620252,2
3,1620524,3
3,1620796,3
3,1621068,3
3,1621340,3
3,1621612,2
3,1621884,3
3,1622156,3
3,1622428,2
3,1622700,3
3,1622972,2
3,1623244,3
3,1623516,660
3,1623788,718
3,1624060,768
3,1624340,802
3,1624612,825
3,1624884,846
3,1625156,12
3,1625428,6
3,1625700,4
3,1625972,3
3,1626244,2
3,1626516,3
3,1626788,2
3,1627060,3
3,1627332,2
3,1627604,2
3,1627876,3
3,1628148,2
3,1628444,2
3,1628716,4
3,1628988,3
3,1629260,3
3,1629532,3
3,1629804,2
3,1630076,3
3,1630348,2
3,1630620,3
3,1630892,2
3,1631164,3
3,1631436,3
3,1631708,431
3,1631980,860
3,1632252,860
3,1632532,860
3,1632804,856
3,1633076,860
3,1633348,861
3,1633620,25
3,1633892,13
3,1634164,6
3,1634436,4
3,1634708,3
3,1634980,3
3,1635252,2
3,1635524,4
3,1635796,2
3,1636068,4
3,1636340,2
3,1636636,2
3,1636908,3
3,1637180,3
3,1637452,3
3,1637724,3
3,1637996,2
3,1638268,3
3,1638540,2
3,1638812,3
3,1639084,3
3,1639356,2
3,1639628,3
3,1639900,3
3,1640172,861
3,1640444,861
3,1640724,859
3,1640996,862
3,1641268,860
3,1641540,860
3,1641812,449
3,1642084,17
3,1642356,8
3,1642628,6
3,1642900,4
3,1643172,3
3,1643444,3
3,1643716,3
3,1643988,3
3,1644260,2
3,1644532,2
3,1644828,2
3,1645100,3
3,1645372,3
3,1645644,3
3,1645916,2
3,1646188,3
3,1646460,3
3,1646732,1
3,1647004,2
3,1647276,3
3,1647548,3
3,1647820,2
3,1648092,3
3,1648364,430
3,1648636,861
3,1648916,860
3,1649188,860
3,1649460,861
3,1649732,860
3,1650004,860
3,1650276,25
3,1650548,11
3,1650820,6
3,1651092,4
3,1651364,4
3,1651636,3
3,1651908,3
3,1652180,3
3,1652452,3
3,1652724,1
3,1653020,3
3,1653292,3
3,1653564,3
3,1653836,3
3,1654108,2
3,1654380,4
3,1654652,2
3,1654924,4
3,1655196,3
3,1655468,3
3,1655740,3
3,1656012,3
3,1656284,1
3,1656556,4
3,1656828,861
3,1657108,858
3,1657380,860
3,1657652,861
3,1657924,860
3,1658196,860
3,1658468,447
3,1658740,15
3,1659012,9
3,1659284,5
3,1659556,3
3,1659828,2
3,1660100,2
3,1660372,3
3,1660644,3
3,1660916,4
3,1661212,3
3,1661484,3
3,1661756,3
3,1662028,2
3,1662300,2
3,1662572,3
3,1662844,2
3,1663116,3
3,1663388,3
3,1663660,3
3,1663932,3
3,1664204,3
3,1664476,4
4,1770908,3
4,1771180,2
4,1771452,3
4,1771724,3
4,1771996,2
4,1772268,3
4,1772540,3
4,1772820,2
4,1773092,3
4,1773364,29
4,1773636,31
4,1773908,30
4,1774180,30
4,1774452,31
4,1774724,30
4,1774996,2
4,1775268,3
4,1775540,2
4,1775812,3
4,1776084,3
4,1776356,3
4,1776628,2
4,1776924,2
4,1777196,3
4,1777468,3
4,1777740,3
4,1778012,3
4,1778284,2
4,1778556,3
4,1778828,3
4,1779100,3
4,1779372,2
4,1779644,3
4,1779916,3
4,1780188,2
4,1780460,3
4,1780732,3
4,1781012,2
4,1781284,2
4,1781556,368
4,1781828,694
4,1782100,749
4,1782372,790
4,1782644,816
4,1782916,837
4,1783188,461
4,1783460,8
4,1783732,4
4,1784004,3
4,1784276,3
4,1784548,3
4,1784820,3
4,1785116,3
4,1785388,3
4,1785660,3
4,1785932,3
4,1786204,3
4,1786476,3
4,1786748,3
4,1787020,2
4,1787292,3
4,1787564,4
4,1787836,1
4,1788108,3
4,1788380,3
4,1788652,2
4,1788924,3
4,1789204,3
4,1789476,2
4,1789748,2
4,1790020,861
4,1790292,860
4,1790564,860
4,1790836,860
4,1791108,861
4,1791380,859
4,1791652,447
4,1791924,17
4,1792196,8
4,1792468,6
4,1792740,4
4,1793012,3
4,1793308,2
4,1793580,2
4,1793852,1
4,1794124,3
4,1794396,2
4,1794668,3
4,1794940,3
4,1795212,3
4,1795484,2
4,1795756,3
4,1796028,1
4,1796300,4
4,1796572,3
4,1796844,2
4,1797116,3
4,1797396,2
4,1797668,3
4,1797940,2
4,1798212,431
4,1798484,861
4,1798756,861
4,1799028,860
4,1799300,861
4,1799572,860
4,1799844,861
4,1800116,24
4,1800388,11
4,1800660,6
4,1800932,5
4,1801204,3
4,1801500,3
4,1801772,2
4,1802044,2
4,1802316,3
4,1802588,3
4,1802860,3
4,1803132,2
4,1803404,3
4,1803676,2
4,1803948,4
4,1804220,1
4,1804492,4
4,1804764,3
4,1805036,3
4,1805308,3
4,1805588,2
4,1805860,3
4,1806132,2
4,1806404,3
4,1806676,861
4,1806948,860
4,1807220,860
4,1807492,860
4,1807764,860
4,1808036,859
4,1808308,446
4,1808580,16
4,1808852,8
4,1809124,5
4,1809396,3
4,1809692,3
4,1809964,3
4,1810236,3
4,1810508,4
4,1810780,3
4,1811052,3
4,1811324,3
4,1811596,4
4,1811868,3
4,1812140,4
4,1812412,1
4,1812684,2
4,1812956,3
4,1813228,3
4,1813500,3
4,1813780,3
4,1814052,3
4,1814324,2
4,1814596,3
4,1814868,429
4,1815140,861
4,1815412,860
4,1815684,860
4,1815956,860
