Experiment: DisplayExperiment
Date: 30.08.2018
Time: 18:25:01
Width: 1920
Height: 1080
Depth: 32
Rate: 60
Monitors: BNQ_BQ XL411_H6E00549SL0
Trials: 1000

Trial,Time,SensorBrightness
2,1541356,29
2,1541628,29
2,1541900,29
2,1542172,29
2,1542444,30
2,1542716,4
2,1542988,4
2,1543260,4
2,1543532,4
2,1543804,4
2,1544076,3
2,1544348,3
2,1544620,3
2,1544892,4
2,1545164,4
2,1545436,4
2,1545708,4
2,1545980,4
2,1546252,3
2,1546524,4
2,1546796,4
2,1547068,4
2,1547340,4
2,1547612,4
2,1547884,4
2,1548156,4
2,1548428,4
2,1548700,3
2,1548972,4
2,1549244,16
2,1549516,30
2,1549788,29
2,1550060,29
2,1550332,29
2,1550612,28
2,1550884,18
2,1551156,4
2,1551428,5
2,1551700,4
2,1551972,4
2,1552244,4
2,1552516,4
2,1552788,4
2,1553060,3
2,1553332,3
2,1553604,3
2,1553876,5
2,1554148,3
2,1554420,4
2,1554716,4
2,1554988,3
2,1555260,4
2,1555532,2
2,1555804,4
2,1556076,4
2,1556348,4
2,1556620,4
2,1556892,4
2,1557164,4
2,1557436,4
2,1557708,50
2,1557980,51
2,1558252,51
2,1558524,61
2,1558804,86
2,1559076,125
2,1559348,4
2,1559620,5
2,1559892,4
2,1560164,4
2,1560436,4
2,1560708,4
2,1560980,4
2,1561252,3
2,1561524,3
2,1561796,3
2,1562068,4
2,1562340,3
2,1562612,4
2,1562908,4
2,1563180,4
2,1563452,4
2,1563724,3
2,1563996,4
2,1564268,4
2,1564540,4
2,1564812,4
2,1565084,3
2,1565356,3
2,1565628,3
2,1565900,429
2,1566172,860
2,1566444,858
2,1566716,860
2,1566996,860
2,1567268,860
2,1567540,860
2,1567812,26
2,1568084,13
2,1568356,7
2,1568628,5
2,1568900,4
2,1569172,3
2,1569444,4
2,1569716,4
2,1569988,4
2,1570260,4
2,1570532,4
2,1570804,3
2,1571100,3
2,1571372,3
2,1571644,4
2,1571916,3
2,1572188,3
2,1572460,4
2,1572732,4
2,1573004,4
2,1573276,3
2,1573548,4
2,1573820,3
2,1574092,3
2,1574364,860
2,1574636,860
2,1574908,860
2,1575188,861
2,1575460,860
2,1575732,860
2,1576004,448
2,1576276,18
2,1576548,9
2,1576820,6
2,1577092,4
2,1577364,4
2,1577636,4
2,1577908,3
2,1578180,4
2,1578452,4
2,1578724,4
2,1578996,4
2,1579292,3
2,1579564,4
2,1579836,1
2,1580108,3
2,1580380,4
2,1580652,4
2,1580924,4
2,1581196,4
2,1581468,4
2,1581740,4
2,1582012,5
2,1582284,4
2,1582556,433
2,1582828,860
2,1583100,860
2,1583380,860
2,1583652,860
2,1583924,860
2,1584196,859
2,1584468,27
2,1584740,13
2,1585012,7
2,1585284,5
2,1585556,4
2,1585828,4
2,1586100,4
2,1586372,4
2,1586644,4
2,1586916,4
2,1587188,4
2,1587484,3
2,1587756,4
2,1588028,4
2,1588300,4
2,1588572,4
2,1588844,4
2,1589116,4
2,1589388,4
2,1589660,3
2,1589932,3
2,1590204,3
2,1590476,3
2,1590748,4
2,1591020,860
2,1591292,859
2,1591572,860
2,1591844,860
2,1592116,860
2,1592388,861
2,1592660,447
2,1592932,17
2,1593204,9
2,1593476,6
2,1593748,4
2,1594020,4
2,1594292,4
2,1594564,4
2,1594836,4
2,1595108,4
2,1595380,3
2,1595676,4
3,1687204,4
3,1687476,4
3,1687748,4
3,1688020,4
3,1688292,3
3,1688564,3
3,1688860,3
3,1689132,3
3,1689404,4
3,1689676,3
3,1689948,4
3,1690220,3
3,1690492,4
3,1690764,16
3,1691036,30
3,1691308,29
3,1691580,29
3,1691852,30
3,1692124,30
3,1692396,16
3,1692668,4
3,1692948,2
3,1693220,4
3,1693492,4
3,1693764,4
3,1694036,4
3,1694308,4
3,1694580,4
3,1694852,4
3,1695124,4
3,1695396,4
3,1695668,4
3,1695940,4
3,1696212,4
3,1696484,3
3,1696756,4
3,1697052,3
3,1697324,3
3,1697596,4
3,1697868,4
3,1698140,4
3,1698412,4
3,1698684,4
3,1698956,4
3,1699228,29
3,1699500,29
3,1699772,29
3,1700044,29
3,1700316,29
3,1700588,28
3,1700860,4
3,1701140,4
3,1701412,3
3,1701684,4
3,1701956,4
3,1702228,4
3,1702500,4
3,1702772,4
3,1703044,4
3,1703316,4
3,1703588,4
3,1703860,4
3,1704132,3
3,1704404,3
3,1704676,3
3,1704948,4
3,1705244,4
3,1705516,5
3,1705788,4
3,1706060,4
3,1706332,4
3,1706604,4
3,1706876,4
3,1707148,4
3,1707420,35
3,1707692,51
3,1707964,50
3,1708236,57
3,1708508,75
3,1708780,108
3,1709052,39
3,1709332,3
